
[AE] epoch: 104/150(69.33%), time: 0:02:54, loss: 0.054186474829912186, best epoch: 104, best loss: 0.054186474829912186
[AE] epoch: 105/150(70.00%), time: 0:02:55, loss: 0.05405785212914149, best epoch: 105, best loss: 0.05405785212914149
[AE] epoch: 106/150(70.67%), time: 0:02:57, loss: 0.05403244366248449, best epoch: 106, best loss: 0.05403244366248449
[AE] epoch: 107/150(71.33%), time: 0:02:58, loss: 0.05384486272931099, best epoch: 107, best loss: 0.05384486272931099
[AE] epoch: 108/150(72.00%), time: 0:03:00, loss: 0.05379215235511462, best epoch: 108, best loss: 0.05379215235511462
[AE] epoch: 109/150(72.67%), time: 0:03:01, loss: 0.053703553130229315, best epoch: 109, best loss: 0.053703553130229315
[AE] epoch: 110/150(73.33%), time: 0:03:02, loss: 0.05365537121891975, best epoch: 110, best loss: 0.05365537121891975
[AE] epoch: 111/150(74.00%), time: 0:03:04, loss: 0.05359852984547615, best epoch: 111, best loss: 0.05359852984547615
[AE] epoch: 112/150(74.67%), time: 0:03:05, loss: 0.053537328988313676, best epoch: 112, best loss: 0.053537328988313676
[AE] epoch: 113/150(75.33%), time: 0:03:07, loss: 0.05348027313748995, best epoch: 113, best loss: 0.05348027313748995
[AE] epoch: 114/150(76.00%), time: 0:03:08, loss: 0.05337311749656995, best epoch: 114, best loss: 0.05337311749656995
[AE] epoch: 115/150(76.67%), time: 0:03:09, loss: 0.053224902401367825, best epoch: 115, best loss: 0.053224902401367825
[AE] epoch: 116/150(77.33%), time: 0:03:11, loss: 0.053143242647250497, best epoch: 116, best loss: 0.053143242647250497
[AE] epoch: 117/150(78.00%), time: 0:03:12, loss: 0.05308146586020788, best epoch: 117, best loss: 0.05308146586020788
[AE] epoch: 118/150(78.67%), time: 0:03:14, loss: 0.05301154990990957, best epoch: 118, best loss: 0.05301154990990957
[AE] epoch: 119/150(79.33%), time: 0:03:15, loss: 0.05306552280982335, best epoch: 118, best loss: 0.05301154990990957
